Oggetto	Risorsa Stringa	Pannello	Descrizione	it-IT	en-US	de-DE	fr-FR	es-ES	sk-SK
TextBlock	Lbl_General_Diagnostic_MicroSwitch_Title	Diagnostica Generale		MICRO INTERRUTTORI	MICRO SWITCHES	MIKROSCHALTER	MICRO COMMUTATEURS	MICRO INTERRUPTORES	MIKROSPÍNAČE
TextBlock	Lbl_General_Diagnostic_Sensor_Carriage_Title	Diagnostica Generale		Posizione Carro :	Carriage Position :	Position Einkaufswagen:	Panier de Position:	Posición Carro :	Poloha stola :
TextBlock	Lbl_General_Diagnostic_Sensor_Chain_Title	Diagnostica Generale		Posizione Catena :	Chain Position :	Kette Position:	Position de la Chaine:	Posición Cadena :	Poloha reťaze :
TextBlock	Lbl_General_Diagnostic_Sensor_Encoder_Title	Diagnostica Generale		Posizione Staccafetta :	Detacher Position :	Geteilte Position:	Position Partagee:	Posición desacoplamiento :	Poloha Dopravníka :
TextBlock	Lbl_General_Diagnostic_Sensor_Plate_Title	Diagnostica Generale		Posizione Piatto :	Plate Position :	Flache Position:	Position a Plat:	Posición del plato :	Poloha dosky :
TextBlock	Lbl_General_Diagnostic_Sensor_Sail_Title	Diagnostica Generale		Apertura Vela :	Sail Opening :	Segel Eröffnung	Ouverture de la Voile	Apertura de la vela :	Otvorenie 
TextBlock	Lbl_General_Diagnostic_Sensor_Title	Diagnostica Generale		SENSORI	SENSORS	SENSOREN	CAPTEURS	SENSORES	SENZORY
TextBlock	lbl_General_Diagnostic_Title	Diagnostica Generale		DIAGNOSTICA GENERALE	GENERAL DIAGNOSTICS	ALLGEMEINE DIAGNOSE	DIAGNOSTIC GENERAL	DIAGNÓSTICO GENERAL	VŠEOBECNÁ DIAGNOSTIKA
TextBlock	lbl_Info_Fw_Version_Node_0_Title	Info : Versioni		VERSIONE FW @ NODO 0 (STEPPERS DRIVERS)	VERSIONS FW @ NODE 0 (STEPPERS DRIVERS)	VERSIONS FW @ KNOT 0 (STEPPERS DRIVERS)	VERSIONS FW @ NOEUD 0 (STEPPERS DRIVERS)	VERSIÓN FW @ NODO 0 (DRIVERS STEPPERS)	VERZIA FW @ UZOL 0 (OVLÁDAČE KROKOVÝCH MOTOROV)
TextBlock	lbl_Info_Fw_Version_Node_1_Title	Info : Versioni		VERSIONE / RELEASE FW @ NODO 1 (HV DRIVERS)	VERSIONS / RELEASE FW @ NODE 1 (HV DRIVERS)	VERSIONS / RELEASE FW @ KNOT 1 (HV DRIVERS)	VERSIONS / RELEASE FW @ NOEUD 1 (HV DRIVERS)	VERSIÓN / RELEASE FW @ NODO 1 (DRIVERS HV)	VERZIA / UVOĽNENIE FW @ UZOL 1 (OVLÁDAČE HV)
TextBlock	lbl_Info_Fw_Version_Title	Info : Versioni		FIRMWARE	FIRMWARE	FIRMWARE	FIRMWARE	FIRMWARE	FIRMWARE
TextBlock	lbl_Info_Hw_Version_Title	Info : Versioni		VERSIONE CPU	CPU VERSION	CPU VERSION	VERSION DU PROCESSEUR	VERSION CPU	VERZIA CPU
TextBlock	lbl_Info_Hw_Title	Info : Versioni		HARDWARE	HARDWARE	HARDWARE	HARDWARE	HARDWARE	HARDWARE
TextBlock	lbl_Info_Hw_Revision_Title	Info : Versioni		DATA CPU	CPU DATE	CPU DATEN	LA DATE DU PROCESSEUR	DATOS CPU	DÁTA CPU
TextBlock	lbl_Info_Hw_Build_Title	Info : Versioni		VERSIONE POTENZA	POWER VERSION	POWER VERSION	VERSION PUISSANTE	VERSIÓN DE POTENCIA	VERZIA NAPÁJANIA
TextBlock	lbl_Info_Hw_Date_Release_Title	Info : Versioni		DATA POTENZA	POWER DATE	DATENPOWER	LA DATE DU PUISSANTE	DATOS DE POTENCIA	ÚDAJE O NAPÁJENÍ
TextBlock	lbl_Info_Sw_Build_Title	Info : Versioni		BUILD	BUILD	BUILD	BUILD	CONSTRUIR	Postav
TextBlock	lbl_Info_Sw_Date_Release_Node_0_Title	Info : Versioni		DATA RELEASE @ NODO 0	DATE RELEASE @ NODE 0	DATE RELEASE @ KNOT 0	DATE RELEASE @ NOEUD 0	LIBERACIÓN DE DATOS @ NODO 0	Údaje @ UZOL 0
TextBlock	lbl_Info_Sw_Date_Release_Node_1_Title	Info : Versioni		DATA RELEASE @ NODO 1	DATE RELEASE @ NODE 1	DATE RELEASE @ KNOT 1	DATE RELEASE @ NOEUD 1	LIBERACIÓN DE DATOS @ NODO 1	Údaje @ UZOL 1
TextBlock	lbl_Info_Sw_Date_Release_Title	Info : Versioni		DATA RELEASE	DATE RELEASE	DATUM RELEASE	DATE RELEASE	LIBERACIÓN DE DATOS	Údaje
TextBlock	lbl_Info_Sw_Revision_Title	Info : Versioni		REVISIONE	REVISION	REVIEW	EXAMEN	REVISIÓN	Revízia
TextBlock	lbl_Info_Sw_Title	Info : Versioni		SOFTWARE	SOFTWARE	SOFTWARE	SOFTWARE	SOFTWARE	SOFTWARE
TextBlock	lbl_Info_Sw_Version_Title	Info : Versioni		VERSIONE	VERSION	VERSIONEN	VERSIONS	VERSION	VERZIA
TextBlock	Lbl_LanguageList	Lista Lingue		LISTA LINGUE	LANGUAGE LIST	SPRACHLISTE	LISTE DE LANGUE	LISTA DE IDIOMAS	ZOZNAM JAZYKOV
TextBlock	lbl_Maintenance_Title	Manutenzione		MANUTENZIONE E PULIZIA	MAINTENANCE AND CLEANING	WARTUNG UND REINIGUNG	ENTRETIEN ET NETTOYAGE	MANTENIMIENTO Y LIMPIEZA	ÚDRŽBA A ČISTENIE
TextBlock	lbl_MotionDiagnostic_ApplyChoices_Titles	Motion Diag.		APPLICA SCELTE A:	APPLY CHOICES A:	WENDEN SIE WAHLEN AN A:	APPLIQUER LES CHOIX A:	APLICAR OPCIONES A:	POUŽITE VOĽBY NA:
TextBlock	lbl_MotionDiagnostic_Following_Titles	Motion Diag.		INSEGUIMENTO CICLO Attivo / Disattivo	TRACKING CYCLE Active / Inactive	TRACKING CYCLE Aktiv / Inaktiv	CYCLE DE SUIVI Actif / Inactif	SEGUIMIENTO DE CICLO Activo / Inactivo	Aktívne / neaktívne
TextBlock	lbl_MotionDiagnostic_Kill_Titles	Motion Diag.		KILL	KILL	KILL	KILL	KILL	KILL
TextBlock	lbl_MotionDiagnostic_Quantity_Titles	Motion Diag.		QNT	QNT	QNT	MENGE	QNT	QNT
TextBlock	lbl_MotionDiagnostic_Range_Blade_Title	Motion Diag.		LAMA	BLADE	HOBELMESSER	LAME	HOJA	Kotúč
TextBlock	lbl_MotionDiagnostic_Range_Carriadge_Title	Motion Diag.		CARRO	CARRIAGE	SCHNEIDEWAGEN	CART	CARRO	Stôl
TextBlock	lbl_MotionDiagnostic_Range_Chain_Title	Motion Diag.		CATENA	CHAIN	KETTE	CHAÎNE	CADENA	Reťaz
TextBlock	lbl_MotionDiagnostic_Range_CuttingCycle_Title	Motion Diag.		CICLO DI TAGLIO	CUTTING CYCLE	SCHNEIDZYKLUS	CYCLE DE COUPE	CICLO DE CORTE	CYKLUS REZANIA
TextBlock	lbl_MotionDiagnostic_Range_Plate_Title	Motion Diag.		PIATTO	PLATE	FLACHE	PLATE	PLACA	Doska
TextBlock	lbl_MotionDiagnostic_Range_SliceDetacher_Title	Motion Diag.		STACCAFETTA	DETACHER	GETEILTE	PARTAGEE	CICLO DE CORTE	Dopravník
TextBlock	lbl_MotionDiagnostic_Speed_Titles	Motion Diag.		VELOCITA' UP / DOWN	SPEED UP / DOWN	GESCHWINDIGKEIT UP / DOWN	VITESSE HAUT / BAS	VELOCIDAD ARRIBA / ABAJO	RÝCHLOSŤ NAHOR / NADOL
TextBlock	lbl_MotionDiagnostic_Start_Titles	Motion Diag.		AVVIO	START	START	DEMARRAGE	ARRANQUE	START
TextBlock	lbl_MotionDiagnostic_Stop_Titles	Motion Diag.		ARRESTO	STOP	STOPP	ARRET	PARADA	STOP
TextBlock	lbl_MotionDiagnostic_Title	Motion Diag.		MOVIMENTAZIONE: DIAGNOSTICA	MOVEMENTATION: DIAGNOSTIC	HANDHABUNG: DIAGNOSE	MANIPULATION: DIAGNOSTIC	MANIPULACIÓN: DIAGNÓSTICO	MANIPULÁCIA: DIAGNOSTIKA
TextBlock	Lbl_PassordKeyboard_Digit_Container_Title	Password		PASSWORD	PASSWORD	PASSWORT	MOT DE PASSE	CONTRASEÑA	HESLO
TextBlock	Lbl_PatternForCutting_Range_ProfileRule_Title	Pattern		REGOLA DEL PROFILO	PROFILE RULE	PROFILREGEL	REGLE DE PROFIL	REGLA PERFIL	PRAVIDLO PROFILU
TextBlock	lbl_PatternForCutting_FileStored_Title	Pattern		LISTA ESISTENTI	EXISTING LIST	BESTEHENDE LISTE	LISTE EXISTANTE	LISTA EXISTENTE	EXISTUJÚCI ZOZNAM
TextBlock	lbl_PatternForCutting_FileToStore_Title	Pattern		SALVA NUOVO	SAVE NEW	NEU SPEICHERN	SAUVEZ NOUVEAU	GUARDAR NUEVO	ULOŽIŤ NOVÝ
TextBlock	lbl_PatternForCutting_Plate_Arrangment_Area_Title	Pattern		DIMENSIONE UTILE	USEFUL DIMENSION	NÜTZLICHE ABMESSUNGEN	DIMENSION UTILE	DIMENSIÓN ÚTIL	UŽITOČNÝ ROZMER
TextBlock	lbl_PatternForCutting_Plate_Dimension_Title	Pattern		DIMENSIONE PIATTO	PLATE DIMENSION	FLACHE ABMESSUNG	DIMENSION PLAT	TAMAÑO DEL PLATO	Rozmer dosky
TextBlock	lbl_PatternForCutting_Plate_Item_Dimension_Title	Pattern		DIMENSIONE OGGETTO	OBJECT DIMENSION	GRÖSSE DES OBJEKTS	TAILLE DU SUJET	TAMAÑO DEL OBJETO	VEĽKOSŤ OBJEKTU
TextBlock	lbl_PatternForCutting_Plate_Item_Numbers_Title	Pattern		NUMERO OGGETTI	NUMBER OF OBJECTS	ANZAHL DER OBJEKTE	NOMBRE D'OBJETS	NÚMERO DE OBJETO	ČÍSLO OBJEKTU
TextBlock	lbl_PatternForCutting_Plate_Layout_Area_Offset_Title	Pattern		OFFSET  DIMENSIONE UTILE	OFFSET USEFUL DIMENSION	OFFSET NÜTZLICHE ABMESSUNG	DIMENSION UTILE OFFSET	DIMENSIÓN ÚTIL OFFSET	POSUNUTIE UŽITOČNÉHO ROZMERU
TextBlock	lbl_PatternForCutting_Plate_Shape_Title	Pattern		ASSEGNA ICONE	ASSIGN ICONS	ICON ZUWEISUNG	AFFECTATION D'ICONE	ASIGNAR ICONOS	PRIRADIŤ IKONU
TextBlock	lbl_PatternForCutting_Plate_ShapeAssegned_Title	Pattern		ICONE ASSEGNATE	ICONS ASSIGNED	ICONS DIE ZUGEWIESEN SIND	ICONS, DIE ZUGEWIESEN SIND	ICONOS ASIGNADOS	PRIRADENÉ IKONY
TextBlock	lbl_PatternForCutting_PlateDimension_Titles_X	Pattern		NOME DEL PATTERN	PATTERN'S NAME	NAME DES MUSTERS	NOM DU MOTIF	NOMBRE DEL PATRÓN	NÁZOV VZORU
TextBlock	lbl_PatternForCutting_Title	Pattern		EDITOR PATTERN : MODELLI DI TAGLIO	EDITOR PATTERN: CUTTING MODELS	EDITOR-MUSTER: MODELLE SCHNEIDEN	MOTIF DE L'EDITEUR: MODELES DE COUPE	EDITOR DE PATRONES : PATRONES DE CORTE	EDITOR VZOROV : VZORY REZANIA
TextBlock	TBox_PatternForCutting_OffsetPoint_Title	Pattern		VALORI DI OFFSET	OFFSET VALUES	OFFSET-WERTE	VALEURS DE DECALAGE	VALORES DE OFFSET	HODNOTY OFFSETU
TextBlock	TBox_PatternForCutting_OffsetPoint_LayoutCutting_Title	Pattern		AREA DI TAGLIO	CUTTING AREA	SCHNITTBEREICH	ZONE DE COUPE	ÁREA DE CORTE	OBLASŤ REZANIA
TextBlock	TBox_PatternForCutting_OffsetPoint_Point_Title	Pattern		PUNTO	POINT	PUNKT	POINTE	PUNTO	BOD
TextBlock	Lbl_Product_Master_Data_DescriptionExists_Title	Scelta Prodotto		Descrizione	Description	Beshreibung	Description	Descripción	Popis
TextBlock	Lbl_Product_Master_Data_DescriptionNewName_Title	Scelta Prodotto		Descrizione	Description	Beshreibung	Description	Descripción	Popis
TextBlock	lbl_Product_Master_Data_New_Title	Scelta Prodotto		NUOVO	NEW	NEW	NOUVEAU	NUEVO	NOVINKA
TextBlock	Lbl_Product_Master_Data_NewName_Title	Scelta Prodotto		Nome	Name	Name	Nom	Nombre	Názov
TextBlock	Lbl_Product_Master_Data_SelectExists_Title	Scelta Prodotto		Nome	Name	Name	Nom	Nombre	Názov
TextBlock	lbl_Product_Master_Data_Selection_Title	Scelta Prodotto		SELEZIONE	SELECTION	AUSWAHL	SELECTION	SELECCIÓN	Výber
TextBlock	lbl_Product_Master_Data_Title	Scelta Prodotto		PRODOTTI: SELEZIONE / NUOVO	PRODUCTS: SELECTION / NEW	PRODUKTE: AUSWAHL / NEU	PRODUIT: SELECTION / NOUVEAU	PRODUCTOS: SELECCIÓN / NUEVO	PRODUKTY: Výber / Nový
TextBlock	Lbl_SelectTable_Parameters_SetCutting_Pag_1_Real_Title	Nuovo Programma		Reale	Real	Real	Reel	Real	Skutočný
TextBlock	Lbl_SelectTable_Parameters_SetCutting_Pag_2_Real_Title	Nuovo Programma		Reale	Real	Real	Reel	Real	Skutočný
TextBlock	Lbl_SelectTable_SetCutting_Selection_Page_1_Edit_Title	Nuovo Programma		Edita	Edit	Edit	Edit	Editar	Upraviť
TextBlock	Lbl_SelectTable_SetCutting_Selection_Page_1_Setting_Title	Nuovo Programma		Imposta	Set	Set	Ensemble	Conjunto	Nastav
TextBlock	Lbl_SelectTable_SetCutting_Selection_Page_2_Edit_Title	Nuovo Programma		Edita	Edit	Edit	Edit	Editar	Upraviť
TextBlock	Lbl_SelectTable_SetCutting_Selection_Page_2_Setting_Title	Nuovo Programma		Imposta	Set	Set	Ensemble	Set	Nastav
TextBlock	lbl_SetCutting_Programs_Title	Seleziona Esistente		LISTA PROGRAMMI DI TAGLIO	LIST OF CUTTING PROGRAMS	LISTE DER SCHNITTPROGRAMME	LISTE DES PROGRAMMES DE COUPE	LISTA DE PROGRAMAS DE CORTE	ZOZNAM PROGRAMOV REZANIA
TextBlock	lbl_SetCutting_Programs_Titles_BladeRPM	Seleziona Esistente		GIRI LAMA	BLADE SPEED	KLINGE RPM	VITESSE DE LA LAME	RPM HOJA	Rýchlosť kotúča
TextBlock	lbl_SetCutting_Programs_Titles_Carriagepeed	Seleziona Esistente		FETTE / MIN	SLICES / MIN	SCHEIBEN / MIN	TRANCHES / MIN	CORTES / MIN	Počet rezov / min
TextBlock	lbl_SetCutting_Programs_Titles_CarriageSpan	Seleziona Esistente		DIMENSIONE	DIMENSION	Größe	TAILLE	TAMAÑO	Veľkosť
TextBlock	lbl_SetCutting_Programs_Titles_DescriptionProgramList	Seleziona Esistente		< DESCRIZIONE >	< DESCRIPTION >	< BESCHREIBUNG >	< DESCRIPTION >	< DESCRIPCIÓN >	< POPIS >
TextBlock	lbl_SetCutting_Programs_Titles_DescriptionProgramList1	Seleziona Esistente		[ PRODOTTO ]	[ PRODUCT ]	[ PRODUKT ]	[ PRODUIT ]	[PRODUCTO]	[ PRODUCT ]
TextBlock	lbl_SetCutting_Programs_Titles_Product_Arrangment	Seleziona Esistente		DISPOSIZIONE	ARRANGEMENT	ANORDNUNG	AFFICHAGE	DISPOSICIÓN	Usporiadanie
TextBlock	lbl_SetCutting_Programs_Titles_ProductSize	Seleziona Esistente		FORMA	SHAPE	FORM	FORME	FORMA	Tvar
TextBlock	lbl_SetCutting_Programs_Titles_ProgramsList	Seleziona Esistente		PROGRAMMA	PROGRAM	PROGRAMM	PROGRAMME	PROGRAMA	PROGRAM
TextBlock	lbl_SetCutting_Programs_Titles_Slices_Row_1_Title	Seleziona Esistente		QUANTITA'	QUANTITY	MENGE	QUANTITE'	CANTIDAD	Množstvo
TextBlock	lbl_SetCutting_Programs_Titles_Slices_Row_2_Title	Seleziona Esistente		FETTE / PIANI	SLICES / PLANES	SCHEIBEN / PLANE	TRANCHES / PLANS	HOJAS/PLACAS	Rezy
TextBlock	lbl_SetCutting_Programs_Titles_ThicknessSlices	Seleziona Esistente		SPESSORE	THICKNESS	DICKE	EPAISSEUR	ESPESOR	Hrúbka
TextBlock	lbl_SettingsGenerics_Color_Background_Title	Impostazioni: Generale		COLORE < SFONDO >	COLOR < BACKGROUND >	< HINTERGRUND > FARBE	COULEUR < FOND >	COLOR < FONDO >	FARBA < POZADIE >
TextBlock	lbl_SettingsGenerics_ExecuteButtonEnable_Title	Impostazioni: Generale		VISUALIZZA PULSANTE < ESEGUI >	VIEW < RUN > BUTTON	TASTE < AUSFÜHREN > ANZEIGEN	VOIR LE BOUTON < EXECUTER >	BOTÓN DE VISUALIZACIÓN < EJECUTAR >	ZOBRAZENIE< SPUSTI > TLAČIDLO
TextBlock	lbl_SettingsGenerics_Title	Impostazioni: Generale		IMPOSTAZIONI: GENERALE	SETTINGS: GENERAL	EINSTELLUNGEN: ALLGEMEIN	PARAMETRES: GENERAL	AJUSTES: GENERAL	NASTAVENIA: VŠEOBECNÉ
TextBlock	lbl_SettingsGenerics_Title1	Impostazioni: Generale		GENERALE	GENERAL	GENERAL	GENERAL	GENERAL	VŠEOBECNÉ
TextBlock	lbl_SettingsGenerics_Diagnostic_Extesive_Title	Impostazioni: Generale		DIAGNOSTICA ESTESA < ABILITA >	EXTENDED DIAGNOSTICS < ENABLE >	ERWEITERTE DIAGNOSE < AKTIVIEREN >	DIAGNOSTIC ETENDU < ACTIVER >	DIAGNÓSTICO AMPLIADO < HABILITAR >	ROZŠÍRENÁ DIAGNOSTIKA < POVOLIŤ >
TextBlock	lbl_SettingsGenerics_CuttingCycle_Verify_Title	Impostazioni: Generale		CICLO DI TAGLIO CONTINUO < ABILITA >	CONTINUOUS CUTTING CYCLE < ENABLE >	KONTINUIERLICHER SCHNEIDZYKLUS < AKTIVIEREN >	CYCLE DE COUPE CONTINUE < ACTIVER >	CICLO DE CORTE CONTINUO < HABILITAR >	NEPRETRŽITÝ CYKLUS REZANIA < POVOLIŤ >
TextBlock	lbl_SettingsGenerics_Products_MandatoryChoise_Title	Impostazioni: Generale		PRODOTTO: SCELTA OBBLIGATA < ABILITA >	PRODUCT: REQUIRED CHOICE < ENABLE >	PRODUKT: ERFORDERLICHE AUSWAHL < AKTIVIEREN >	PRODUIT: CHOIX REQUIS < ACTIVER >	PRODUCTO: ELECCIÓN FORZADA < HABILITAR >	VÝROBOK: POŽADOVANÝ VÝBER < POVOLIŤ >
TextBlock	lbl_SettingsGenerics_Maintenance_TimeFrameInterval_Title	Impostazioni: Generale		MANUTENZIONE : TEMPO TRA DIAPOSITIVE	MAINTENANCE: TIME BETWEEN SLIDES	WARTUNG: ZEIT ZWISCHEN DIA	ENTRETIEN: TEMPS ENTRE LES DIAPOSITIVES	MANTENIMIENTO: TIEMPO ENTRE DESLIZAMIENTOS	ÚDRŽBA: ČAS MEDZI REZMI
TextBlock	lbl_SettingsGenerics_SettingsGeneric_Setup_Sensors_Coil_EnableAppRestart_Title	Impostazioni: Generale		SETUP MAGNETE: ABILITA RIAVVIO APP	SETUP MAGNETE: ABILITA RIAVVIO APP	MAGNET-SETUP: APP-NEUSTART AKTIVIEREN	CONFIGURATION DE L'AIMANT: ACTIVER LE REDEMARRAGE DE L'APP.	CONFIGURACIÓN DEL IMÁN : HABILITAR REINICIO DE LA APLICACIÓN	NASTAVENIE MAGNETU : POVOLIŤ REŠTART APLIKÁCIE
TextBlock	lbl_SettingsGenerics_Maintenance_UpdateSlides_Title	Impostazioni: Generale		MANUTENZIONE : AGGIORNA IMMAGINI	MAINTENANCE: UPDATE IMAGES	WARTUNG: BILDER AKTUALISIEREN	ENTRETIEN: MISE A JOUR DES IMAGES	MANTENIMIENTO : ACTUALIZAR IMÁGENES	ÚDRŽBA : AKTUALIZÁCIA OBRÁZKOV
TextBlock	lbl_SettingsGenerics_DataTime_Title	Impostazioni: Generale		DATA / ORA	DATE / TIME	DATUM / STUNDE	DATE / HEURE	FECHA / HORA	DÁTUM / ČAS
TextBlock	lbl_SettingsGenerics_DateTime_Day_Title	Impostazioni: Generale		GIORNO:	DAY:	TAG:	JOUR:	DÍA	DEŇ:
TextBlock	lbl_SettingsGenerics_DateTime_Month_Title	Impostazioni: Generale		MESE:	MONTH:	MONAT:	MOIS:	MES:	MESIAC:
TextBlock	lbl_SettingsGenerics_DateTime_Year_Title	Impostazioni: Generale		ANNO:	YEAR:	JAHR:	ANNEE:	AÑO:	ROK:
TextBlock	lbl_SettingsGenerics_DateTime_Hours_Title	Impostazioni: Generale		ORE:	HOURS:	STD:	HEURES:	HORAS:	HODINY:
TextBlock	lbl_SettingsGenerics_DateTime_Minutes_Title	Impostazioni: Generale		MINUTI:	MINUTES:	PROTOKOLL:	MINUTES:	MINUTOS:	MINÚTY:
TextBlock	lbl_SettingsGenerics_DateTime_Seconds_Title	Impostazioni: Generale		SECONDI:	SECONDS:	SEKUNDEN:	SECONDES:	SEGUNDOS:	SEKUNDY:
TextBlock	Lbl_SettingsSensors_Encoder_GenericErrorRegister_Title	Impostazione Sensori		ERRORI SENSORI (reg. 901)	SENSORS ERRORS (reg. 901)	SENSORFEHLER (reg. 901)	DETECTEURS D'ERREURS (reg. 901)	ERRORES DE SENSOR (reg. 901)	Chyby snímačov (reg. 901)
TextBlock	Lbl_SettingsSensors_Encoder_GenericStatusRegister_Title	Impostazione Sensori		REGISTRO DI STATO (reg. 000)	STATUS REGISTER (reg. 000)	STATUSREGISTER (reg. 000)	ENREGISTREMENT DE STATUT (reg. 000)	REGISTRO DE ESTADO (reg. 000)	REGISTER STAVU (reg. 000)
TextBlock	lbl_SettingsSensors_Encoder_Position_Actual_Title	Impostazione Sensori		POSIZIONE ATTUALE	ACTUAL POSITION	AKTUELLE POSITION	POSITION ACTUELLE	POSICIÓN ACTUAL	AKTUÁLNA POLOHA
TextBlock	Lbl_SettingsSensors_Encoder_SerialNumber_Title	Impostazione Sensori		ERRORI MAGNETE (reg. 400)	COIL ERRORS (reg. 400)	MAGNET FEHLER (reg. 400)	ERREURS D'AIMANT (reg. 400)	ERRORES DE IMÁN (reg. 400)	CHYBY MAGNETU (reg. 400)
TextBlock	Lbl_SettingsSensors_Encoder_Speed_Actual_Title	Impostazione Sensori		OFFSET ATTUALE (reg. 403)	ACTUAL OFFSET (reg. 403)	PRÄSENTIEREN SIE OFFSET (reg. 403)	FFSET PRESENT (reg. 403)	OFFSET ACTUAL (reg. 403)	AKTUÁLNY ODSTUP (reg. 403)
TextBlock	Lbl_SettingsSensors_Encoder_Temperature_Actual_Title	Impostazione Sensori		POSIZIONE HOME (reg. 408)	HOME POSITION (reg. 408)	AUSGANGPOSITION (reg. 408)	POSITION DE BASE (reg. 408)	POSICIÓN DE ORIGEN (reg. 408)	DOMOVSKÁ POLOHA (reg. 408)
TextBlock	lbl_SettingsSensors_Encoder_Title	Impostazione Sensori		ENCODER PETTINE STACCAFETTA	ENCODER DETACHER	KOPPLER ENCODER	ENCODEUR COMB PARTAGEE	CODIFICADOR DE PEINE DESMONTABLE	ENKÓDER DOPRAVNÍKA
TextBlock	Lbl_Diagnostic_Errors_Title	Diagnostica Errori		DIAGNOSTICA ERRORI: GESTIONE DIZIONARIO	ERROR DIAGNOSTICS: DICTIONARY MANAGEMENT	FEHLERDIAGNOSE: WORTERBUCHVERWALTUNG	DIAGNOSTIC DES ERREURS: GESTION DU DICTIONNAIRE	DIAGNÓSTICO DE ERRORES: GESTIÓN DEL DICCIONARIO	DIAGNOSTIKA CHÝB: SPRÁVA SLOVNÍKA
TextBlock	Lbl_Diagnostic_Errors_Selection_Title	Diagnostica Errori		SELEZIONE ERRORE	SELECTION ERROR	AUSWAHLFEHLER	ERREUR DE SELECTION	SELECCIÓN DE ERRORES	VÝBER CHÝB
TextBlock	Lbl_Diagnostic_Errors_SelectExists_Title	Diagnostica Errori		Nome	Name	Name	Nom	Nombre	Názov
TextBlock	Lbl_Diagnostic_Errors_DescriptionExists_Title	Diagnostica Errori		Descrizione	Description	Beshreibung	Description	Descripción	Popis
TextBlock	Lbl_Diagnostic_Errors_DescriptionEvent_Title	Diagnostica Errori		Evento	Event	Ereignis	Evenement	Evento	Udalosť
TextBlock	Lbl_Diagnostic_Errors_New_Title	Diagnostica Errori		NUOVO ERRORE	NEW ERROR	NEUER FEHLER	NOUVELLE ERREUR	NUEVO ERROR	NEW ERROR
TextBlock	Lbl_Diagnostic_Errors_NewName_Title	Diagnostica Errori		Nome	Name	Name	Nom	Nombre	Názov
TextBlock	Lbl_Diagnostic_Errors_DescriptionNewName_Title	Diagnostica Errori		Descrizione	Description	Beshreibung	Description	Descripción	Popis
TextBlock	Lbl_Diagnostic_Errors_Events_Title	Diagnostica Errori		Evento	Event	Ereignis	Evenement	Evento	Udalosť
TextBlock	Lbl_User_Master_Data_Title	Gestione Operatori		GESTIONE OPERATORE	OPERATOR MANAGEMENT	BEDIENERVERWALTUNG	GESTION DES OPERATEURS	GESTIÓN DE OPERADORES	SPRÁVA OPERÁTORA
TextBlock	Lbl_User_Master_Data_Selection_Title	Gestione Operatori		SELEZIONE	SELECTION	AUSWAHL	SELECTION	SELECCIÓN	Výber
TextBlock	Lbl_User_Master_Data_SelectExists_Title	Gestione Operatori		Nome	Name	Name	Nom	Nombre	Názov
TextBlock	Lbl_User_Master_Data_DescriptionExists_Title	Gestione Operatori		Reparto	Department	Abteilung	Departement	Departamento	Oddelenie
TextBlock	Lbl_User_Master_Data_New_Title	Gestione Operatori		NUOVO	NEW	NEW	NOUVEAU	NUEVO	Nový
TextBlock	Lbl_User_Master_Data_NewName_Title	Gestione Operatori		Nome	Name	Name	Nom	Nombre	Názov
TextBlock	Lbl_User_Master_Data_DescriptionNewName_Title	Gestione Operatori		Reparto	Department	Abteilung	Departement	Departamento	Oddelenie
TextBlock	lbl_SettingsSensors_Fw_Version_Title1	Info : Versioni		VERSIONI	VERSIONS	VERSIONEN	VERSIONS	VERSIONES	VERZIE
TextBlock	Lbl_SettingsSensors_Potentiometer_Sail_Max_Title	Impostazione Sensori		VALORE SU FONDO SCALA	VALUE ON SCALA FUND	WERT AUF SCALA FUND	VALEUR SUR LE FONDS SCALA	VALOR A FONDO DE ESCALA	HODNOTA PRI PLNOM ROZSAHU
TextBlock	Lbl_SettingsSensors_Potentiometer_Sail_Min_Title	Impostazione Sensori		VALORE AL MINIMO	VALUE AT MINIMUM	MINDESTWERT	VALEUR AU MINIMUM	VALOR AL MÍNIMO	HODNOTA PRI MINIME
TextBlock	lbl_SettingsSensors_Potentiometer_Sail_Offset_Title	Impostazione Sensori		OFFSET	OFFSET	OFFSET	OFFSET	OFFSET	OFFSET
TextBlock	Lbl_SettingsSensors_Potentiometer_Sail_RelativeAndReal_Title	Impostazione Sensori		VALORE RELATIVO	RELATIVE VALUE	RELATIVER WERT	VALEUR RELATIVE	VALOR RELATIVO	RELATÍVNA HODNOTA
TextBlock	Lbl_SettingsSensors_Potentiometer_Sail_Resolution_Title	Impostazione Sensori		RISOLUZIONE	RESOLUTION	AUFLÖSUNG	RESOLUTION	RESOLUCIÓN	ROZLIŠENIE
TextBlock	lbl_SettingsSensors_Potentiometer_Sail_Title	Impostazione Sensori		POTENZIOMETRO VELA	POTENTIOMETER SAIL	POTENZIOMETER SEGEL	POTENTIOMETRE VOILE	POTENCIÓMETRO DE VELA	POTENCIOMETER
TextBlock	lbl_SettingsSensors_Title	Impostazione Sensori		IMPOSTAZIONI: SENSORI	SETTINGS: SENSORS	EINSTELLUNGEN: SENSOREN	REGLAGES: CAPTEURS	AJUSTES: SENSORES	NASTAVENIA: SNÍMAČE
